,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
41,20000008,1659176260,0x19d8a1504e0c8581553f7604fe095421d31ec92576819479b5e69f7c9471ec49,73447,0xda5d754ef2f4c78eba3055971e69a625f03db7cef75120573d905a899f4e4a9c,0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x231d9e7181e8479a8b40930961e93e7ed798542c,2549683405691031635,Wrapped BNB,WBNB,18,21,1650000,6000000000,219785,2519368,deprecated,6197819
42,20000008,1659176260,0x82e931736b1606d02584fb46a87f8c18885337e9fbcbb7f1f2987092952ec436,180,0xda5d754ef2f4c78eba3055971e69a625f03db7cef75120573d905a899f4e4a9c,0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x483ca5a9812431961b2e9245f0c81093fa54a968,69548868066620467,Wrapped BNB,WBNB,18,54,472225,5355000000,304493,5910244,deprecated,6197819
43,20000008,1659176260,0xaf8b616d90250d40ef4cd53a9ba0c534a8d1a487630058432c1cffa84ef22a0d,1075,0xda5d754ef2f4c78eba3055971e69a625f03db7cef75120573d905a899f4e4a9c,0x10ed43c718714eb63d5aa57b78b54704e256024e,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,700000000000000000,Wrapped BNB,WBNB,18,76,259650,5000000000,218096,8763329,deprecated,6197819
44,20000008,1659176260,0x88328deee5e96fa9ae9681ec826c11692a2b8e05c1a3131d92928e99d7f309e6,3229,0xda5d754ef2f4c78eba3055971e69a625f03db7cef75120573d905a899f4e4a9c,0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x1a72de436d1386ea002c5180795a495e50a6d7a2,142790293073746835,Wrapped BNB,WBNB,18,78,305703,5000000000,195402,9003236,deprecated,6197819
45,20000008,1659176260,0xb690e6a2f80b04279fe8abcf071368a8a6a0770c13d94b7f6ce6d44d7819236d,5199,0xda5d754ef2f4c78eba3055971e69a625f03db7cef75120573d905a899f4e4a9c,0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xe091ffaaab02b5b3f0cf9f4309c22a6550de4c8e,348791554626813004,Wrapped BNB,WBNB,18,79,345948,5000000000,254088,9257324,deprecated,6197819
46,20000008,1659176260,0x8d3b5540935a3338ffc28422f8198d4271cf79d8b8ffa2b0ad460153d8547847,161,0xda5d754ef2f4c78eba3055971e69a625f03db7cef75120573d905a899f4e4a9c,0x40cc5022c928c8f763b810a90a055856dd99b31c,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,333691645601750218,Wrapped BNB,WBNB,18,156,214185,5000000000,169519,17057383,deprecated,6197819
47,20000009,1659176263,0x1fdfba47347a7ff35d4cf2268dd8e156fa2f71796409a4feac1394000326576a,1421,0x059bae2790e2a932efbd6311ab0b4c0eb70bd27d8e1ebf3024d70c9d0493ad9d,0x10ed43c718714eb63d5aa57b78b54704e256024e,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,20000000000000000,Wrapped BNB,WBNB,18,11,259650,7000000000,218096,1063477,deprecated,6197818
48,20000009,1659176263,0xd3ed4eb20aabb790269302fdc0eb551f83d67b3b087a869a6c0414424307389d,85,0x059bae2790e2a932efbd6311ab0b4c0eb70bd27d8e1ebf3024d70c9d0493ad9d,0x10ed43c718714eb63d5aa57b78b54704e256024e,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,400000000000000000,Wrapped BNB,WBNB,18,22,162547,5500000000,122268,1844560,deprecated,6197818
49,20000009,1659176263,0x1d548f86191f21d6277ce96325b1263bf2c6fa8fea53cb52c2a0fcc7be1c3cba,11,0x059bae2790e2a932efbd6311ab0b4c0eb70bd27d8e1ebf3024d70c9d0493ad9d,0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x041b55fecb8657cac0e970fe50ce492b46e82728,34461820919698897,Wrapped BNB,WBNB,18,34,828787,5355000000,510917,5285258,deprecated,6197818
50,20000009,1659176263,0x1c4d29da5f7083c0b0566413230825605bce3090538a917255ec2d095b9e1494,172,0x059bae2790e2a932efbd6311ab0b4c0eb70bd27d8e1ebf3024d70c9d0493ad9d,0x10ed43c718714eb63d5aa57b78b54704e256024e,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,300000000000000000,Wrapped BNB,WBNB,18,128,338400,5000000000,198000,16961767,deprecated,6197818
